,Flight_01,Flight_02,Flight_04,Flight_05,Flight_06,Flight_07,Flight_08,Flight_09,Flight_10,Flight_11,Flight_12,Flight_13,Flight_14,Flight_15,Flight_16,Flight_17,Flight_18,Flight_19,Flight_20,Flight_21,Flight_22,Flight_23,Flight_24,Flight_25,Flight_26,Flight_27,Flight_28,Flight_29,Flight_30,Flight_31,Flight_32,Flight_33,Flight_34,Flight_35,Flight_36,Ground_01,Ground_02,Ground_03,Ground_04,Ground_05,Ground_06,Ground_07,Ground_08,Ground_09,Ground_10,Ground_11,Ground_12,Ground_13,Ground_14,Ground_15,Ground_16,Ground_17,Ground_18,Ground_19,Ground_20,Ground_21,Ground_22,Ground_23,Ground_24,Ground_25,Ground_26,Ground_27,Ground_28,Ground_29,Ground_30,Ground_31,Ground_32,Ground_34,Ground_35,Ground_36
BioMone,-0.0,-0.764127914536012,0.12944423602646918,0.2798714791420148,-0.0,-0.0,2.2997961923347323,0.9492422896566923,-0.0,-1.1098447706833034,1.1271873303850797,-1.8303412506853027,-0.6085919065060805,2.540322382531234,-0.12609543083046537,-0.4233665293376101,1.7694252360768237,-0.0,0.1298815904326419,-0.0,4.476864766739415,0.5854746749409677,2.928188804609023,1.5573145302634257,-0.5876750122734907,0.5944192689102633,1.914817983894145,0.41585130992811703,1.5322329517678361,-2.464181640263999,0.6185886363181787,1.5367569531172947,0.5876750122734907,1.0583621240974634,3.073423648846617,0.0,-0.3270412321724943,0.0,-0.7196718553101288,2.6625577976273167,0.9418009066672962,0.9932784282232079,-1.7841507938821348,3.073423648846617,0.6085919065060805,2.0630079775200105,-0.7196718553101288,-3.431415779081425,-0.5811431746119875,2.289823489249653,0.0,-0.0,0.9890413817755285,0.0,-2.1699250014423126,1.1098447706833034,-3.2533220642819973,-0.9273893865712327,-2.0630079775200105,0.40870733180810637,0.0,1.3635327049869244,-0.9890413817755285,-2.6625577976273167,-0.7954833247294204,-0.5854746749409677,2.0630079775200105,0.2798714791420148,0.6085919065060805,-0.7386826282635649
DrouSaTic,1.2388482023892011,-1.2388482023892011,-0.0,1.1821769760403527,1.1821769760403527,0.7196718553101288,0.7196718553101288,0.0,0.0,0.7196718553101288,-1.2388482023892011,-0.0,0.2969961692738632,2.4762373762270578,0.7196718553101288,-0.3270412321724943,0.0,0.0,-2.101362979611399,2.4762373762270578,-0.0,1.2388482023892011,-0.9472919335441244,0.0,0.7196718553101288,0.0,0.0,0.0,1.2388482023892011,-2.101362979611399,1.2388482023892011,0.0,-1.2388482023892011,0.0,-2.498048466933841,-2.101362979611399,1.2388482023892011,-1.2388482023892011,1.2388482023892011,-1.2388482023892011,0.328700440498651,2.498048466933841,3.7957459247947893,3.82212261294227,-0.9472919335441244,5.333026069587939,2.4762373762270578,1.2388482023892011,-1.2388482023892011,-1.2388482023892011,-1.2388482023892011,1.2388482023892011,3.7957459247947893,-1.2388482023892011,-0.0,0.7196718553101288,-2.4762373762270578,-1.2388482023892011,-1.2388482023892011,3.82212261294227,2.4762373762270578,-0.0,-3.7957459247947893,-2.4762373762270578,-0.7196718553101288,1.1821769760403527,-1.2388482023892011,0.0,-1.2388482023892011,-0.3270412321724943
LighUV,-2.4762373762270578,-1.1821769760403527,-1.1821769760403527,-1.1821769760403527,0.0,-1.5289823460186418,-1.2388482023892011,0.7954833247294204,1.2388482023892011,1.2388482023892011,1.2388482023892011,-0.0,0.14189262501095115,-2.6625577976273167,1.2388482023892011,0.3270412321724943,0.14189262501095115,1.1821769760403527,0.7196718553101288,0.3270412321724943,-3.7957459247947893,-0.9472919335441244,-0.3270412321724943,-0.0,0.467816464225368,2.4762373762270578,-0.9472919335441244,-0.0,0.0,2.6625577976273167,0.0,-0.9472919335441244,1.1821769760403527,-0.3270412321724943,-0.5175949513960437,0.9890413817755285,-0.7954833247294204,1.2922689445240918,1.0062954603000287,1.4301458708451331,-0.0,-0.5175949513960437,-0.0,-2.4762373762270578,0.9472919335441244,-2.4762373762270578,-0.0,0.7954833247294204,0.3270412321724943,1.2388482023892011,1.2388482023892011,0.467816464225368,-0.0,1.1890945639021344,0.0,0.0,1.2922689445240918,-0.2737847104620633,0.6135327023430526,0.0,1.5367569531172947,-0.0,0.7196718553101288,1.5289823460186418,-0.14189262501095115,2.4762373762270578,-1.1821769760403527,-0.4657756832776491,-1.7972338079798036,-1.1890945639021344
Cold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,0.0,-1.2388482023892011,0.0,0.0,0.0,-1.2388482023892011,-1.2388482023892011,-1.2388482023892011,0.0,0.0,-1.2388482023892011,0.0,0.0
Heat,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,-1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FarRed,0.0,0.0,-1.2388482023892011,0.0,0.0,-0.0,-1.2388482023892011,0.0,0.0,1.2388482023892011,0.0,1.2388482023892011,1.2388482023892011,-1.2388482023892011,0.0,0.0,-1.2388482023892011,-1.2388482023892011,0.0,0.0,-1.2388482023892011,0.0,0.0,-1.2388482023892011,-1.2388482023892011,0.0,0.0,0.0,-1.2388482023892011,1.2388482023892011,-1.2388482023892011,-1.2388482023892011,0.0,0.0,-1.2388482023892011,-0.0,-2.498048466933841,-1.2388482023892011,-0.0,-1.2388482023892011,1.2388482023892011,0.0,-0.7358328978652026,-1.2388482023892011,1.2388482023892011,-1.2388482023892011,-0.7358328978652026,-0.0,1.2388482023892011,0.0,0.0,0.0,0.0,1.2388482023892011,0.0,0.0,1.2388482023892011,-0.0,1.2388482023892011,0.0,1.2388482023892011,-1.2388482023892011,1.1890945639021344,1.2388482023892011,0.0,1.2388482023892011,1.2388482023892011,1.2388482023892011,-0.0,-1.2388482023892011
FeDeficiency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genotoxic,0.0,1.2388482023892011,1.2388482023892011,1.2388482023892011,1.2388482023892011,0.0,-0.0,0.0,0.7196718553101288,-0.0,-0.0,1.1821769760403527,0.0,0.0,1.2388482023892011,1.2388482023892011,1.2388482023892011,-0.0,1.2388482023892011,1.2388482023892011,-1.2388482023892011,1.1821769760403527,0.0,-0.0,1.2388482023892011,0.7196718553101288,2.0630079775200105,-0.0,-0.0,-0.0,-0.0,1.1821769760403527,0.7196718553101288,-1.2388482023892011,-0.0,0.0,-1.2388482023892011,-1.2388482023892011,-1.2388482023892011,-1.2388482023892011,-2.4762373762270578,0.0,0.0,-1.2388482023892011,1.2388482023892011,-1.2388482023892011,0.0,0.0,2.4762373762270578,-1.2388482023892011,2.0630079775200105,-1.2388482023892011,-0.0,0.0,2.4762373762270578,1.2388482023892011,-1.2388482023892011,0.0,-2.4762373762270578,0.0,-1.2388482023892011,0.0,0.0,0.0,0.0,-1.2388482023892011,-1.2388482023892011,1.2388482023892011,1.2388482023892011,0.0
Herbicide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypoxia,1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2388482023892011,0.0,0.0,0.0,0.0,0.0,1.2388482023892011,1.2388482023892011,1.2388482023892011,1.2388482023892011,0.0,0.0,0.0,0.0,0.0,1.2388482023892011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
